Number of samples:   11392
Sample interval:     0.01 seconds
Total sampling time: 113.92 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  68     28   0.2     55   0.5   6568  57.7        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
  69     28   0.2     28   0.2   6596  57.9        -  SB-INT:SSET-DELETE
  70     27   0.2     51   0.4   6623  58.1        -  SB-INT:PARSE-LAMBDA-LIST
  71     27   0.2     27   0.2   6650  58.4        -  (FLET "CLEANUP-FUN-36" :IN SB-THREAD::CALL-WITH-SYSTEM-MUTEX/WITHOUT-GCING)
  72     26   0.2     39   0.3   6676  58.6        -  SB-C::REPORT-ARG-COUNT-MISMATCH
  73     25   0.2   1694  14.9   6701  58.8        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
  74     25   0.2    407   3.6   6726  59.0        -  SB-C::DERIVE-NODE-TYPE
  75     25   0.2    175   1.5   6751  59.3        -  SB-C::BLOCK-HOME-LAMBDA
  76     25   0.2    115   1.0   6776  59.5        -  SB-C::PROCESS-DECLS
  77     25   0.2    111   1.0   6801  59.7        -  SB-KERNEL::VALUES-SPECIFIER-TYPE-R
  78     25   0.2     64   0.6   6826  59.9        -  SB-C::PROPAGATE-COPIES
  79     25   0.2     33   0.3   6851  60.1        -  SB-KERNEL::NUMBER-UNPARSE-TYPE-METHOD
  80     25   0.2     25   0.2   6876  60.4        -  SB-C::%EVENT
  81     24   0.2    267   2.3   6900  60.6        -  SB-C::CONSTRAIN-REF-TYPE
  82     24   0.2     65   0.6   6924  60.8        -  SB-C::SSET-INTERSECTION
  83     23   0.2   4251  37.3   6947  61.0        -  SB-C::IR1-OPTIMIZE
  84     23   0.2     29   0.3   6970  61.2        -  SB-IMPL::GETHASH/EQUAL
  85     23   0.2     23   0.2   6993  61.4        -  SB-C::%MAKE-CAST
  86     22   0.2    260   2.3   7015  61.6        -  SB-C::CHECK-FIXED-AND-REST
  87     22   0.2    239   2.1   7037  61.8        -  SB-C::CHECK-ARG-TYPE
  88     22   0.2     77   0.7   7059  62.0        -  SB-C::MAKE-REF
  89     22   0.2     28   0.2   7081  62.2        -  SB-KERNEL::%MAKE-VALUES-TYPE
  90     22   0.2     26   0.2   7103  62.4        -  SB-C::TN-IS-COPY-OF
  91     22   0.2     25   0.2   7125  62.5        -  SB-KERNEL:MAKE-NUMERIC-TYPE
  92     22   0.2     22   0.2   7147  62.7        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;DLISP3.LISP")
  93     22   0.2     22   0.2   7169  62.9        -  SB-C::LEAF-HAS-SOURCE-NAME-P
  94     21   0.2     52   0.5   7190  63.1        -  (LABELS SB-KERNEL::RECURSE :IN SB-KERNEL:%%TYPEP)
  95     21   0.2     21   0.2   7211  63.3        -  SB-KERNEL:MAKE-SINGLE-VALUE-TYPE
  96     21   0.2     21   0.2   7232  63.5        -  SB-INT:COPY-SSET
  97     20   0.2    212   1.9   7252  63.7        -  SB-C::MAP-COMBINATION-ARGS-AND-TYPES
  98     20   0.2    206   1.8   7272  63.8        -  SB-REGALLOC::VERTEX-TARGET-VERTICES
  99     20   0.2     51   0.4   7292  64.0        -  SB-C::FIND-CONSTRAINT
 100     20   0.2     33   0.3   7312  64.2        -  SB-C::LEAF-SOURCE-NAME
 101     20   0.2     32   0.3   7332  64.4        -  SB-C::COPY-CONSET
 102     20   0.2     26   0.2   7352  64.5        -  (LABELS SB-IMPL::S :IN NSUBST)
 103     20   0.2     20   0.2   7372  64.7        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/3
 104     20   0.2     20   0.2   7392  64.9        -  SB-C::PRINCIPAL-LVAR-USE
 105     19   0.2    227   2.0   7411  65.1        -  SB-C::ASSERT-LVAR-TYPE
 106     19   0.2     90   0.8   7430  65.2        -  SB-C::LVAR-FUN-TYPE
 107     19   0.2     68   0.6   7449  65.4        -  SB-C::IR1-CONVERT-FUNCTOID
 108     19   0.2     42   0.4   7468  65.6        -  SB-C::LINK-BLOCKS
 109     19   0.2     37   0.3   7487  65.7        -  SB-C::COMPILER-VALUES-SPECIFIER-TYPE
 110     19   0.2     25   0.2   7506  65.9        -  SB-C::OPERAND-RESTRICTION-OK
 111     19   0.2     19   0.2   7525  66.1        -  SB-KERNEL::CANONICALIZE-ARGS-TYPE-ARGS
 112     18   0.2     29   0.3   7543  66.2        -  SB-KERNEL:LIST-SUBSEQ*
 113     18   0.2     19   0.2   7561  66.4        -  SB-C::MAKE-BLOCK
 114     18   0.2     18   0.2   7579  66.5        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/4
 115     18   0.2     18   0.2   7597  66.7        -  NSUBSTITUTE
 116     17   0.1   1940  17.0   7614  66.8        -  SB-C::IR1-CONVERT-LAMBDA
 117     17   0.1    234   2.1   7631  67.0        -  SB-C::LTN-ANALYZE-BLOCK
 118     17   0.1     52   0.5   7648  67.1        -  SB-C::ENSURE-SOURCE-PATH
 119     17   0.1     35   0.3   7665  67.3        -  SB-C::CHECK-VARIABLE-NAME-FOR-BINDING
 120     17   0.1     22   0.2   7682  67.4        -  SB-KERNEL::%MAKE-NUMERIC-TYPE
 121     17   0.1     22   0.2   7699  67.6        -  SB-VM::PRIMITIVE-TYPE-AUX
