Number of samples:   11203
Sample interval:     0.01 seconds
Total sampling time: 112.03 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  67     29   0.3   4182  37.3   6338  56.6        -  SB-C::IR1-OPTIMIZE
  68     29   0.3     39   0.3   6367  56.8        -  SB-C::LEAF-SOURCE-NAME
  69     27   0.2    109   1.0   6394  57.1        -  CEILING
  70     26   0.2    138   1.2   6420  57.3        -  SB-C::REFERENCE-LEAF
  71     26   0.2     26   0.2   6446  57.5        -  SB-C::MAKE-LVAR
  72     26   0.2     26   0.2   6472  57.8        -  SB-C::CONSET-ADJOIN
  73     25   0.2   3320  29.6   6497  58.0        -  SB-C::IR1-OPTIMIZE-COMBINATION
  74     25   0.2    237   2.1   6522  58.2        -  SB-C::CONSTRAIN-REF-TYPE
  75     25   0.2    210   1.9   6547  58.4        -  SB-C::DELETE-REF
  76     25   0.2    110   1.0   6572  58.7        -  SB-C::IR2-CONVERT-BLOCK
  77     25   0.2     88   0.8   6597  58.9        -  SB-C::LVAR-FUN-TYPE
  78     25   0.2     46   0.4   6622  59.1        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
  79     25   0.2     25   0.2   6647  59.3        -  SB-C::%EVENT
  80     24   0.2    702   6.3   6671  59.5        -  SB-C::IR1-CONVERT-COMBINATION-ARGS
  81     24   0.2    281   2.5   6695  59.8        -  SB-C::CHECK-FIXED-AND-REST
  82     24   0.2     28   0.2   6719  60.0        -  SB-IMPL::GETHASH/EQUAL
  83     24   0.2     24   0.2   6743  60.2        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;DLISP3.LISP")
  84     24   0.2     24   0.2   6767  60.4        -  SB-INT:SSET-DELETE
  85     23   0.2    390   3.5   6790  60.6        -  SB-C::DERIVE-NODE-TYPE
  86     23   0.2     23   0.2   6813  60.8        -  COPY-STRUCTURE
  87     23   0.2     23   0.2   6836  61.0        -  SB-C::GET-SOURCE-PATH
  88     23   0.2     23   0.2   6859  61.2        -  SB-C::NODE-ENCLOSING-CLEANUP
  89     22   0.2    109   1.0   6881  61.4        -  SB-C::PROCESS-DECLS
  90     22   0.2     60   0.5   6903  61.6        -  SB-C::FIND-CONSTRAINT
  91     22   0.2     45   0.4   6925  61.8        -  SB-C::UNLINK-NODE
  92     22   0.2     41   0.4   6947  62.0        -  SB-IMPL::%MAP-FOR-EFFECT
  93     22   0.2     39   0.3   6969  62.2        -  SB-C::REPORT-ARG-COUNT-MISMATCH
  94     22   0.2     24   0.2   6991  62.4        -  SB-KERNEL::NUMBER-UNPARSE-TYPE-METHOD
  95     21   0.2   1632  14.6   7012  62.6        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
  96     21   0.2    171   1.5   7033  62.8        -  SB-REGALLOC::VERTEX-TARGET-VERTICES
